"resp.id","ques","alt","chid","Duration","Rent","Type","Roommates","Commute","Bathroom","Parking","Choice"
4,11,"B",65,244,"1000","Apartment","3","45","Private","Yes",0
4,11,"C",65,244,"600","House","2","45","Shared","Yes",0
4,12,"A",66,244,"800","Townhouse","1","5","Shared","Yes",0
4,12,"B",66,244,"800","Townhouse","1","20","Shared","Yes",0
4,12,"C",66,244,"1000","Townhouse","1","20","Private","Yes",1
4,13,"A",67,244,"1000","Apartment","3","5","Shared","Yes",1
4,13,"B",67,244,"1000","House","1","5","Shared","Yes",0
4,13,"C",67,244,"600","Apartment","3","45","Private","No",0
4,14,"A",68,244,"1000","Townhouse","3","45","Private","No",0
4,14,"B",68,244,"1000","Apartment","2","20","Shared","No",1
4,14,"C",68,244,"1000","House","2","20","Shared","Yes",0
4,15,"A",69,244,"800","House","1","45","Private","No",1
4,15,"B",69,244,"600","Townhouse","1","20","Shared","No",0
4,15,"C",69,244,"600","Apartment","2","45","Shared","No",0
4,16,"A",70,244,"600","Apartment","1","45","Shared","No",0
4,16,"B",70,244,"600","House","1","20","Private","No",0
4,16,"C",70,244,"600","House","3","20","Shared","Yes",1
4,17,"A",71,244,"600","Apartment","3","5","Shared","No",1
4,17,"B",71,244,"800","Townhouse","2","5","Private","Yes",0
4,17,"C",71,244,"800","Apartment","3","20","Private","No",0
4,18,"A",72,244,"800","Apartment","3","20","Private","No",0
4,18,"B",72,244,"800","Apartment","2","5","Shared","Yes",1
4,18,"C",72,244,"600","Townhouse","3","20","Private","No",0
5,1,"A",73,480,"600","Townhouse","2","45","Shared","Yes",1
5,1,"B",73,480,"800","House","3","45","Shared","Yes",0
5,1,"C",73,480,"800","Apartment","1","45","Private","No",0
5,2,"A",74,480,"1000","Apartment","1","5","Shared","Yes",0
5,2,"B",74,480,"800","House","1","45","Private","No",0
5,2,"C",74,480,"600","House","1","20","Private","Yes",1
5,3,"A",75,480,"800","Apartment","2","5","Private","No",1
5,3,"B",75,480,"800","House","3","5","Shared","Yes",0
5,3,"C",75,480,"600","Townhouse","2","45","Private","Yes",0
5,4,"A",76,480,"800","Townhouse","3","20","Shared","Yes",0
5,4,"B",76,480,"1000","House","2","20","Shared","No",1
5,4,"C",76,480,"800","Townhouse","1","45","Shared","Yes",0
5,5,"A",77,480,"600","House","2","45","Shared","Yes",0
5,5,"B",77,480,"600","House","3","20","Private","No",0
5,5,"C",77,480,"1000","Townhouse","2","45","Private","No",1
5,6,"A",78,480,"1000","Apartment","3","45","Shared","Yes",0
5,6,"B",78,480,"1000","Apartment","3","20","Private","Yes",1
5,6,"C",78,480,"800","House","3","5","Shared","Yes",0
5,7,"A",79,480,"600","Townhouse","1","5","Shared","Yes",1
5,7,"B",79,480,"1000","Townhouse","2","45","Private","No",0
5,7,"C",79,480,"800","House","1","20","Shared","No",0
5,8,"A",80,480,"600","Apartment","1","45","Shared","Yes",0
5,8,"B",80,480,"1000","Townhouse","3","45","Shared","Yes",0
5,8,"C",80,480,"600","House","1","45","Shared","Yes",1
5,9,"A",81,480,"1000","Apartment","3","5","Shared","No",1
5,9,"B",81,480,"800","Townhouse","3","45","Private","No",0
5,9,"C",81,480,"800","Townhouse","3","20","Shared","Yes",0
5,10,"A",82,480,"1000","Apartment","2","45","Shared","Yes",0
5,10,"B",82,480,"600","Townhouse","2","5","Shared","Yes",0
5,10,"C",82,480,"800","Apartment","3","20","Shared","Yes",1
5,11,"A",83,480,"1000","Apartment","3","5","Shared","No",0
5,11,"B",83,480,"600","Townhouse","2","45","Shared","Yes",1
5,11,"C",83,480,"600","Townhouse","2","20","Private","Yes",0
5,12,"A",84,480,"600","Apartment","3","20","Shared","Yes",1
5,12,"B",84,480,"600","Apartment","3","45","Private","Yes",0
5,12,"C",84,480,"1000","House","1","45","Shared","Yes",0
5,13,"A",85,480,"800","Townhouse","2","20","Shared","No",0
5,13,"B",85,480,"600","Apartment","3","5","Private","Yes",1
5,13,"C",85,480,"1000","Townhouse","2","45","Private","No",0
5,14,"A",86,480,"600","Apartment","3","20","Shared","No",0
5,14,"B",86,480,"1000","House","3","20","Shared","Yes",0
5,14,"C",86,480,"600","House","1","5","Private","No",1
5,15,"A",87,480,"600","Townhouse","3","45","Private","No",1
5,15,"B",87,480,"800","House","2","20","Shared","No",0
5,15,"C",87,480,"800","Townhouse","3","45","Shared","Yes",0
5,16,"A",88,480,"600","Apartment","1","20","Shared","Yes",0
5,16,"B",88,480,"600","Apartment","2","45","Private","Yes",0
5,16,"C",88,480,"800","House","1","20","Shared","Yes",1
5,17,"A",89,480,"600","House","2","45","Shared","Yes",0
5,17,"B",89,480,"1000","Apartment","2","20","Private","No",0
5,17,"C",89,480,"600","House","3","5","Shared","No",1
5,18,"A",90,480,"800","Townhouse","1","5","Private","No",0
5,18,"B",90,480,"600","Townhouse","1","45","Shared","No",1
5,18,"C",90,480,"1000","House","3","20","Private","No",0
6,1,"A",91,504,"800","Townhouse","1","5","Shared","No",0
6,1,"B",91,504,"600","Apartment","1","20","Shared","Yes",0
6,1,"C",91,504,"800","Townhouse","2","5","Shared","No",1
6,2,"A",92,504,"600","House","2","45","Private","Yes",0
6,2,"B",92,504,"1000","Townhouse","3","45","Private","Yes",0
